# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BFA1	YJR053W	YJR053W_mRNA	protein_coding	0	0	10	8	0	0	0	0	0	0	2
BIK1	YCL029C	YCL029C_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
BMH2	YDR099W	YDR099W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
BMT5	YIL096C	YIL096C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
BMT6	YLR063W	YLR063W_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
BNA5	YLR231C	YLR231C_mRNA	protein_coding	0	0	5	2	0	0	0	0	0	0	3
BNA6	YFR047C	YFR047C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
BOP2	YLR267W	YLR267W_mRNA	protein_coding	1	0	4	4	0	0	0	0	0	1	0
BOP3	YNL042W	YNL042W_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	0	17	9	0	0	0	0	0	0	8
BRE2	YLR015W	YLR015W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
BRR6	YGL247W	YGL247W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
BSC2	YDR275W	YDR275W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
BUD16	YEL029C	YEL029C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
BUD20	YLR074C	YLR074C_mRNA	protein_coding	1	0	10	2	0	0	0	0	0	1	8
BUD28	YLR062C	YLR062C_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
BUD5	YCR038C	YCR038C_mRNA	protein_coding	1	0	3	1	0	0	0	0	0	1	2
BUD8	YLR353W	YLR353W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
BUD9	YGR041W	YGR041W_mRNA	protein_coding	2	1	12	8	0	1	0	0	0	2	4
BUL2	YML111W	YML111W_mRNA	protein_coding	0	0	7	6	0	0	0	0	0	0	1
BUR2	YLR226W	YLR226W_mRNA	protein_coding	0	0	7	0	0	0	0	0	0	0	7
CAC2	YML102W	YML102W_mRNA	protein_coding	0	1	2	2	0	1	0	0	0	0	0
CAF130	YGR134W	YGR134W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CAF40	YNL288W	YNL288W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CAR2	YLR438W	YLR438W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CAT2	YML042W	YML042W_mRNA	protein_coding	1	1	2	1	0	1	0	0	0	1	1
CAX4	YGR036C	YGR036C_mRNA	protein_coding	0	0	3	2	0	0	0	0	0	0	1
CBF1	YJR060W	YJR060W_mRNA	protein_coding	0	0	11	2	0	0	0	0	0	0	9
CBF2	YGR140W	YGR140W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CBK1	YNL161W	YNL161W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CBP1	YJL209W	YJL209W_mRNA	protein_coding	0	1	1	0	0	1	0	0	0	0	1
CBR1	YIL043C	YIL043C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CCC1	YLR220W	YLR220W_mRNA	protein_coding	1	0	3	3	0	0	0	0	0	1	0
CCC2	YDR270W	YDR270W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CCE1	YKL011C	YKL011C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CCS1	YMR038C	YMR038C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CCT2	YIL142W	YIL142W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
CCT5	YJR064W	YJR064W_mRNA	protein_coding	1	0	10	7	0	0	0	0	0	1	3
CDA1	YLR307W	YLR307W_mRNA	protein_coding	1	0	15	10	0	0	0	0	0	1	5
CDA2	YLR308W	YLR308W_mRNA	protein_coding	4	1	9	2	0	1	0	0	0	4	7
CDC11	YJR076C	YJR076C_mRNA	protein_coding	0	0	9	9	0	0	0	0	0	0	0
CDC123	YLR215C	YLR215C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CDC25	YLR310C	YLR310C_mRNA	protein_coding	2	0	9	9	0	0	0	0	0	2	0
CDC26	YFR036W	YFR036W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
CDC3	YLR314C	YLR314C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CDC42	YLR229C	YLR229C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
CDC45	YLR103C	YLR103C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
CDC8	YJR057W	YJR057W_mRNA	protein_coding	2	0	15	6	0	0	0	0	0	2	9
CDD1	YLR245C	YLR245C_mRNA	protein_coding	0	0	8	2	0	0	0	0	0	0	6
CFT2	YLR115W	YLR115W_mRNA	protein_coding	0	1	3	3	0	1	0	0	0	0	0
CGI121	YML036W	YML036W_mRNA	protein_coding	0	0	11	10	0	0	0	0	0	0	1
CHA1	YCL064C	YCL064C_mRNA	protein_coding	2	0	13	1	0	0	0	0	0	2	12
CHA4	YLR098C	YLR098C_mRNA	protein_coding	0	1	4	2	0	1	0	0	0	0	2
CHS3	YBR023C	YBR023C_mRNA	protein_coding	1	0	2	2	0	0	0	0	0	1	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	0	3	2	0	0	0	0	0	0	1
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
CIN5	YOR028C	YOR028C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CIS1	YLR346C	YLR346C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CKI1	YLR133W	YLR133W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CLC1	YGR167W	YGR167W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CLF1	YLR117C	YLR117C_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
CLG1	YGL215W	YGL215W_mRNA	protein_coding	0	0	9	3	0	0	0	0	0	0	6
CMG1	YLR271W	YLR271W_mRNA	protein_coding	0	0	6	3	0	0	0	0	0	0	3
CNN1	YFR046C	YFR046C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
COA2	YPL189C-A	YPL189C-A_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
COA4	YLR218C	YLR218C_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
COG1	YGL223C	YGL223C_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
COG2	YGR120C	YGR120C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
COG6	YNL041C	YNL041C_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
COG8	YML071C	YML071C_mRNA	protein_coding	0	0	5	5	0	0	0	0	0	0	0
COQ1	YBR003W	YBR003W_mRNA	protein_coding	3	0	8	4	0	0	0	0	0	3	4
COQ11	YLR290C	YLR290C_mRNA	protein_coding	0	0	15	11	0	0	0	0	0	0	4
COQ5	YML110C	YML110C_mRNA	protein_coding	0	1	9	0	0	1	0	0	0	0	9
COS3	YML132W	YML132W_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
COS5	YJR161C	YJR161C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
COS9	YKL219W	YKL219W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
COX12	YLR038C	YLR038C_mRNA	protein_coding	0	0	9	2	0	0	0	0	0	0	7
COX14	YML129C	YML129C_mRNA	protein_coding	0	0	17	3	0	0	0	0	0	0	14
COX26	YDR119W-A	YDR119W-A_mRNA	protein_coding	0	0	6	4	0	0	0	0	0	0	2
CPR3	YML078W	YML078W_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
CPR6	YLR216C	YLR216C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
CPR7	YJR032W	YJR032W_mRNA	protein_coding	0	0	7	3	0	0	0	0	0	0	4
CRR1	YLR213C	YLR213C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CSC1	YLR241W	YLR241W_mRNA	protein_coding	2	0	3	1	0	0	0	0	0	2	2
CSE1	YGL238W	YGL238W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CSF1	YLR087C	YLR087C_mRNA	protein_coding	10	2	7	5	0	2	0	0	0	10	2
CSM2	YIL132C	YIL132C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
CST26	YBR042C	YBR042C_mRNA	protein_coding	1	1	5	0	0	1	0	0	0	1	5
CTF8	YHR191C	YHR191C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CTK3	YML112W	YML112W_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
CTR9	YOL145C	YOL145C_mRNA	protein_coding	0	0	5	5	0	0	0	0	0	0	0
CTS1	YLR286C	YLR286C_mRNA	protein_coding	2	1	17	7	0	1	0	0	0	2	10
CTT1	YGR088W	YGR088W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
CUE4	YML101C	YML101C_mRNA	protein_coding	0	0	4	1	0	0	0	0	0	0	3
CUS2	YNL286W	YNL286W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
CYB2	YML054C	YML054C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
CYB5	YNL111C	YNL111C_mRNA	protein_coding	1	0	12	5	0	0	0	0	0	1	7
CYC1	YJR048W	YJR048W_mRNA	protein_coding	0	0	13	2	0	0	0	0	0	0	11
CYT1	YOR065W	YOR065W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DAK1	YML070W	YML070W_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
DAK2	YFL053W	YFL053W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DAM1	YGR113W	YGR113W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DAT1	YML113W	YML113W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
DBP2	YNL112W	YNL112W_mRNA	protein_coding	2	0	9	7	2	0	0	0	0	2	0
DBP5	YOR046C	YOR046C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
DBP9	YLR276C	YLR276C_mRNA	protein_coding	0	0	10	6	0	0	0	0	0	0	4
DCP1	YOL149W	YOL149W_mRNA	protein_coding	0	0	6	5	0	0	0	0	0	0	1
DCS1	YLR270W	YLR270W_mRNA	protein_coding	1	0	4	3	0	0	0	0	0	1	1
DFG16	YOR030W	YOR030W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DIC1	YLR348C	YLR348C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
DIF1	YLR437C	YLR437C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
DIM1	YPL266W	YPL266W_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	1
DIP5	YPL265W	YPL265W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
DMA2	YNL116W	YNL116W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
DNF2	YDR093W	YDR093W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DON1	YDR273W	YDR273W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DOT5	YIL010W	YIL010W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
DPB4	YDR121W	YDR121W_mRNA	protein_coding	0	0	6	2	0	0	0	0	0	0	4
DSF2	YBR007C	YBR007C_mRNA	protein_coding	2	0	14	6	0	0	0	0	0	2	8
DST1	YGL043W	YGL043W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DUG1	YFR044C	YFR044C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
DUR1,2	YBR208C	YBR208C_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
DUS1	YML080W	YML080W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
DUT1	YBR252W	YBR252W_mRNA	protein_coding	0	0	10	10	0	0	0	0	0	0	0
ECI1	YLR284C	YLR284C_mRNA	protein_coding	0	0	12	6	0	0	0	0	0	0	6
ECM10	YEL030W	YEL030W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
ECM15	YBL001C	YBL001C_mRNA	protein_coding	0	0	11	5	0	0	0	0	0	0	6
ECM18	YDR125C	YDR125C_mRNA	protein_coding	1	0	11	8	0	0	0	0	0	1	3
ECM2	YBR065C	YBR065C_mRNA	protein_coding	0	0	3	2	0	0	0	0	0	0	1
ECM21	YBL101C	YBL101C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ECM22	YLR228C	YLR228C_mRNA	protein_coding	1	0	2	1	0	0	0	0	0	1	1
ECM30	YLR436C	YLR436C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ECM33	YBR078W	YBR078W_mRNA	protein_coding	2	0	5	4	0	0	0	0	0	2	1
ECM38	YLR299W	YLR299W_mRNA	protein_coding	0	1	7	2	0	1	0	0	0	0	5
ECM8	YBR076W	YBR076W_mRNA	protein_coding	0	0	5	3	0	0	0	0	0	0	2
EDC1	YGL222C	YGL222C_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
EGD2	YHR193C	YHR193C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
EGT2	YNL327W	YNL327W_mRNA	protein_coding	2	0	0	0	0	0	0	0	0	2	0
ELP3	YPL086C	YPL086C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
EMC1	YCL045C	YCL045C_mRNA	protein_coding	0	4	14	7	0	4	0	0	0	0	7
EMP46	YLR080W	YLR080W_mRNA	protein_coding	3	0	13	6	0	0	0	0	0	3	7
EMP47	YFL048C	YFL048C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
EMP70	YLR083C	YLR083C_mRNA	protein_coding	2	1	11	6	0	1	0	0	0	2	5
ENB1	YOL158C	YOL158C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ENV10	YLR065C	YLR065C_mRNA	protein_coding	1	0	5	0	0	0	0	0	0	1	5
ENV11	YGR071C	YGR071C_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
ERF2	YLR246W	YLR246W_mRNA	protein_coding	0	0	6	5	0	0	0	0	0	0	1
ERG13	YML126C	YML126C_mRNA	protein_coding	3	0	31	13	0	0	0	0	0	3	18
ERG2	YMR202W	YMR202W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ERG27	YLR100W	YLR100W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
ERG3	YLR056W	YLR056W_mRNA	protein_coding	0	1	2	0	0	1	0	0	0	0	2
ERG7	YHR072W	YHR072W_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
ERG9	YHR190W	YHR190W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ERJ5	YFR041C	YFR041C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
ERO1	YML130C	YML130C_mRNA	protein_coding	2	0	15	2	0	0	0	0	0	2	13
ERT1	YBR239C	YBR239C_mRNA	protein_coding	2	0	3	0	0	0	0	0	0	2	3
ERV1	YGR029W	YGR029W_mRNA	protein_coding	0	1	2	2	0	1	0	0	0	0	0
ERV14	YGL054C	YGL054C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ERV15	YBR210W	YBR210W_mRNA	protein_coding	0	0	4	1	0	0	0	0	0	0	3
ERV41	YML067C	YML067C_mRNA	protein_coding	0	1	4	1	0	1	0	0	0	0	3
ESBP6	YNL125C	YNL125C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
EST1	YLR233C	YLR233C_mRNA	protein_coding	0	0	4	1	0	0	0	0	0	0	3
EST2	YLR318W	YLR318W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
EST3	YIL009C-A	YIL009C-A_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
EXG1	YLR300W	YLR300W_mRNA	protein_coding	0	0	5	3	0	0	0	0	0	0	2
EXO1	YOR033C	YOR033C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
FAR10	YLR238W	YLR238W_mRNA	protein_coding	0	0	5	2	0	0	0	0	0	0	3
FAT1	YBR041W	YBR041W_mRNA	protein_coding	0	0	6	6	0	0	0	0	0	0	0
FCF2	YLR051C	YLR051C_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	1
FIG1	YBR040W	YBR040W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
FIG4	YNL325C	YNL325C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
FKH1	YIL131C	YIL131C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
FKS1	YLR342W	YLR342W_mRNA	protein_coding	1	0	6	2	0	0	0	0	0	1	4
FLO9	YAL063C	YAL063C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
FLR1	YBR008C	YBR008C_mRNA	protein_coding	2	0	14	9	0	0	0	0	0	2	5
FLX1	YIL134W	YIL134W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
FMC1	YIL098C	YIL098C_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
FMP23	YBR047W	YBR047W_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
FMP25	YLR077W	YLR077W_mRNA	protein_coding	3	2	11	6	0	2	0	0	0	3	5
FMP27	YLR454W	YLR454W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
FMP48	YGR052W	YGR052W_mRNA	protein_coding	1	0	11	3	0	0	0	0	0	1	8
FMP52	YER004W	YER004W_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
FMT1	YBL013W	YBL013W_mRNA	protein_coding	2	0	21	12	0	0	0	0	0	2	9
FOB1	YDR110W	YDR110W_mRNA	protein_coding	1	0	3	1	0	0	0	0	0	1	2
FPR3	YML074C	YML074C_mRNA	protein_coding	0	1	5	2	0	1	0	0	0	0	3
FRE1	YLR214W	YLR214W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
FRE7	YOL152W	YOL152W_mRNA	protein_coding	0	0	6	2	0	0	0	0	0	0	4
FRK1	YPL141C	YPL141C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
FRM2	YCL026C-A	YCL026C-A_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
FRS1	YLR060W	YLR060W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
FRT1	YOR324C	YOR324C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
FUR4	YBR021W	YBR021W_mRNA	protein_coding	0	0	5	1	0	0	0	0	0	0	4
FUS1	YCL027W	YCL027W_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
FUS3	YBL016W	YBL016W_mRNA	protein_coding	2	0	12	8	0	0	0	0	0	2	4
FYV10	YIL097W	YIL097W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
FYV5	YCL058C	YCL058C_mRNA	protein_coding	0	1	24	12	0	1	0	0	0	0	12
FYV7	YLR068W	YLR068W_mRNA	protein_coding	0	0	12	7	0	0	0	0	0	0	5
FZF1	YGL254W	YGL254W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
GAA1	YLR088W	YLR088W_mRNA	protein_coding	0	0	16	7	0	0	0	0	0	0	9
GAL1	YBR020W	YBR020W_mRNA	protein_coding	1	1	6	1	0	1	0	0	0	1	5
GAL10	YBR019C	YBR019C_mRNA	protein_coding	1	1	8	6	0	1	0	0	0	1	2
GAL2	YLR081W	YLR081W_mRNA	protein_coding	2	0	12	5	0	0	0	0	0	2	7
GAL7	YBR018C	YBR018C_mRNA	protein_coding	1	1	9	4	0	1	0	0	0	1	5
GAL80	YML051W	YML051W_mRNA	protein_coding	0	1	9	8	0	1	0	0	0	0	1
GAS2	YLR343W	YLR343W_mRNA	protein_coding	1	1	1	0	0	1	0	0	0	1	1
