# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ALY2	YJL084C	YJL084C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AMD1	YML035C	YML035C_mRNA	protein_coding	0	3	0	9	1	0	0	0	0	0	0	0	3	8
AMD2	YDR242W	YDR242W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	0	13	11	0	0	0	0	0	0	0	0	2
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	3	1	27	13	0	1	0	0	0	0	0	3	14
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	0	7	4	0	0	0	0	0	0	0	0	3
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
APL2	YKL135C	YKL135C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APL3	YBL037W	YBL037W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
APL6	YGR261C	YGR261C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
APN2	YBL019W	YBL019W_mRNA	protein_coding	0	3	2	24	16	0	2	0	0	0	0	0	3	8
APS2	YJR058C	YJR058C_mRNA	protein_coding	0	1	0	22	15	0	0	0	0	0	0	0	1	7
AQY1	YPR192W	YPR192W_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	8
AQY3	YFL054C	YFL054C_mRNA	protein_coding	0	1	0	5	4	0	0	0	0	0	0	0	1	1
ARC1	YGL105W	YGL105W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARC18	YLR370C	YLR370C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ARC35	YNR035C	YNR035C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ARG3	YJL088W	YJL088W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARG5,6	YER069W	YER069W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARG81	YML099C	YML099C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARO1	YDR127W	YDR127W_mRNA	protein_coding	0	1	1	14	0	0	1	0	0	0	0	0	1	14
ARP10	YDR106W	YDR106W_mRNA	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	1	3
ARP3	YJR065C	YJR065C_mRNA	protein_coding	0	1	1	11	5	0	1	0	0	0	0	0	1	6
ARP6	YLR085C	YLR085C_mRNA	protein_coding	0	2	0	15	5	0	0	0	0	0	0	0	2	10
ART5	YGR068C	YGR068C_mRNA	protein_coding	0	1	0	3	1	0	0	0	0	0	0	0	1	2
ARV1	YLR242C	YLR242C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARX1	YDR101C	YDR101C_mRNA	protein_coding	0	1	0	3	3	0	0	0	0	0	0	0	1	0
ASG1	YIL130W	YIL130W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ASN2	YGR124W	YGR124W_mRNA	protein_coding	0	5	0	13	5	0	0	0	0	0	0	0	5	8
ATG12	YBR217W	YBR217W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATG22	YCL038C	YCL038C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
ATG32	YIL146C	YIL146C_mRNA	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	1	2
ATG38	YLR211C	YLR211C_mRNA	protein_coding	0	0	0	6	1	0	0	0	0	0	0	0	0	5
ATG5	YPL149W	YPL149W_mRNA	protein_coding	0	0	1	2	1	0	1	0	0	0	0	0	0	1
ATP14	YLR295C	YLR295C_mRNA	protein_coding	0	2	1	16	9	0	1	0	0	0	0	0	2	7
ATP15	YPL271W	YPL271W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP16	YDL004W	YDL004W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ATP20	YPR020W	YPR020W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATP3	YBR039W	YBR039W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ATP7	YKL016C	YKL016C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATR1	YML116W	YML116W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AVL9	YLR114C	YLR114C_mRNA	protein_coding	0	2	0	6	2	0	0	0	0	0	0	0	2	4
AVT4	YNL101W	YNL101W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
AXL2	YIL140W	YIL140W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AYR1	YIL124W	YIL124W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
BAP2	YBR068C	YBR068C_mRNA	protein_coding	0	0	2	6	1	0	2	0	0	0	0	0	0	5
BAR1	YIL015W	YIL015W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BCK2	YER167W	YER167W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BDP1	YNL039W	YNL039W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
BET5	YML077W	YML077W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BFA1	YJR053W	YJR053W_mRNA	protein_coding	0	5	1	18	12	0	1	0	0	0	0	0	5	6
BGL2	YGR282C	YGR282C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BIK1	YCL029C	YCL029C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
BIO2	YGR286C	YGR286C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BLI1	YKL061W	YKL061W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BMH2	YDR099W	YDR099W_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
BMT5	YIL096C	YIL096C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BMT6	YLR063W	YLR063W_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
BOP2	YLR267W	YLR267W_mRNA	protein_coding	0	1	1	19	10	0	1	0	0	0	0	0	1	9
BOP3	YNL042W	YNL042W_mRNA	protein_coding	0	0	0	12	3	0	0	0	0	0	0	0	0	9
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	0	0	25	14	0	0	0	0	0	0	0	0	11
BPL1	YDL141W	YDL141W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
BRE2	YLR015W	YLR015W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BRP1	YGL007W	YGL007W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
BSC2	YDR275W	YDR275W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BSC6	YOL137W	YOL137W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
BTN2	YGR142W	YGR142W_mRNA	protein_coding	0	1	1	12	4	0	1	0	0	0	0	0	1	8
BUD13	YGL174W	YGL174W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
BUD16	YEL029C	YEL029C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD20	YLR074C	YLR074C_mRNA	protein_coding	0	1	1	16	5	0	1	0	0	0	0	0	1	11
BUD26	YDR241W	YDR241W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD28	YLR062C	YLR062C_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
BUD32	YGR262C	YGR262C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD5	YCR038C	YCR038C_mRNA	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	1
BUD6	YLR319C	YLR319C_mRNA	protein_coding	0	0	1	2	2	0	1	0	0	0	0	0	0	0
BUD8	YLR353W	YLR353W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BUD9	YGR041W	YGR041W_mRNA	protein_coding	0	1	4	23	16	0	4	0	0	0	0	0	1	7
BUL2	YML111W	YML111W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BUR2	YLR226W	YLR226W_mRNA	protein_coding	0	0	1	8	2	0	1	0	0	0	0	0	0	6
CAF130	YGR134W	YGR134W_mRNA	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	2	2
CAF40	YNL288W	YNL288W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CAT2	YML042W	YML042W_mRNA	protein_coding	0	4	1	3	2	0	1	0	0	0	0	0	4	1
CAX4	YGR036C	YGR036C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
CBF1	YJR060W	YJR060W_mRNA	protein_coding	0	0	1	18	7	0	1	0	0	0	0	0	0	11
CBF2	YGR140W	YGR140W_mRNA	protein_coding	0	4	0	6	6	0	0	0	0	0	0	0	4	0
CBK1	YNL161W	YNL161W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CBP1	YJL209W	YJL209W_mRNA	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	1	8
CBR1	YIL043C	YIL043C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCA1	YER168C	YER168C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCC1	YLR220W	YLR220W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CCC2	YDR270W	YDR270W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT2	YIL142W	YIL142W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CCT4	YDL143W	YDL143W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT5	YJR064W	YJR064W_mRNA	protein_coding	0	0	0	15	8	0	0	0	0	0	0	0	0	7
CCW12	YLR110C	YLR110C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CDA1	YLR307W	YLR307W_mRNA	protein_coding	0	1	0	20	10	0	0	0	0	0	0	0	1	10
CDA2	YLR308W	YLR308W_mRNA	protein_coding	0	2	2	16	6	0	2	0	0	0	0	0	2	10
CDC11	YJR076C	YJR076C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
CDC123	YLR215C	YLR215C_mRNA	protein_coding	0	1	0	7	6	0	0	0	0	0	0	0	1	1
CDC25	YLR310C	YLR310C_mRNA	protein_coding	0	5	2	14	11	0	2	0	0	0	0	0	5	3
CDC3	YLR314C	YLR314C_mRNA	protein_coding	0	1	0	5	3	0	0	0	0	0	0	0	1	2
CDC33	YOL139C	YOL139C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDC45	YLR103C	YLR103C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
CDC8	YJR057W	YJR057W_mRNA	protein_coding	0	3	1	21	8	0	1	0	0	0	0	0	3	13
CDD1	YLR245C	YLR245C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CFT2	YLR115W	YLR115W_mRNA	protein_coding	0	4	0	6	4	0	0	0	0	0	0	0	4	2
CGI121	YML036W	YML036W_mRNA	protein_coding	0	0	0	9	8	0	0	0	0	0	0	0	0	1
CHA1	YCL064C	YCL064C_mRNA	protein_coding	0	3	1	24	3	0	1	0	0	0	0	0	3	21
CHA4	YLR098C	YLR098C_mRNA	protein_coding	0	1	0	5	1	0	0	0	0	0	0	0	1	4
CHO2	YGR157W	YGR157W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
CHS3	YBR023C	YBR023C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	0	1	2	1	0	1	0	0	0	0	0	0	1
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
CIN5	YOR028C	YOR028C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CIS1	YLR346C	YLR346C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLB1	YGR108W	YGR108W_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
CLB4	YLR210W	YLR210W_mRNA	protein_coding	0	0	0	5	4	0	0	0	0	0	0	0	0	1
CLB6	YGR109C	YGR109C_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	2
CLC1	YGR167W	YGR167W_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
CLD1	YGR110W	YGR110W_mRNA	protein_coding	0	0	1	11	6	0	1	0	0	0	0	0	0	5
CLF1	YLR117C	YLR117C_mRNA	protein_coding	0	2	2	4	4	0	2	0	0	0	0	0	2	0
CLG1	YGL215W	YGL215W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CMG1	YLR271W	YLR271W_mRNA	protein_coding	0	2	2	12	5	0	2	0	0	0	0	0	2	7
COA4	YLR218C	YLR218C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
COG1	YGL223C	YGL223C_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
COG2	YGR120C	YGR120C_mRNA	protein_coding	0	1	0	11	2	0	0	0	0	0	0	0	1	9
COG4	YPR105C	YPR105C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
COG6	YNL041C	YNL041C_mRNA	protein_coding	0	1	0	11	9	0	0	0	0	0	0	0	1	2
COG8	YML071C	YML071C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
COQ1	YBR003W	YBR003W_mRNA	protein_coding	0	5	0	19	8	0	0	0	0	0	0	0	5	11
COQ11	YLR290C	YLR290C_mRNA	protein_coding	0	0	0	31	18	0	0	0	0	0	0	0	0	13
COQ5	YML110C	YML110C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COS3	YML132W	YML132W_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
COS5	YJR161C	YJR161C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
COS9	YKL219W	YKL219W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COX12	YLR038C	YLR038C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
COX14	YML129C	YML129C_mRNA	protein_coding	0	0	0	14	4	0	0	0	0	0	0	0	0	10
COX18	YGR062C	YGR062C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COX26	YDR119W-A	YDR119W-A_mRNA	protein_coding	0	0	0	11	9	0	0	0	0	0	0	0	0	2
CPR2	YHR057C	YHR057C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CPR3	YML078W	YML078W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CPR6	YLR216C	YLR216C_mRNA	protein_coding	0	0	1	7	7	0	1	0	0	0	0	0	0	0
CPR7	YJR032W	YJR032W_mRNA	protein_coding	0	1	0	18	6	0	0	0	0	0	0	0	1	12
CRD1	YDL142C	YDL142C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CRR1	YLR213C	YLR213C_mRNA	protein_coding	0	2	1	6	2	0	1	0	0	0	0	0	2	4
CSC1	YLR241W	YLR241W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CSE1	YGL238W	YGL238W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CSF1	YLR087C	YLR087C_mRNA	protein_coding	0	11	3	20	10	0	3	0	0	0	0	0	11	10
CSM2	YIL132C	YIL132C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CST26	YBR042C	YBR042C_mRNA	protein_coding	0	2	0	3	0	0	0	0	0	0	0	0	2	3
CTF3	YLR381W	YLR381W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTK3	YML112W	YML112W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CTR9	YOL145C	YOL145C_mRNA	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0	0
CTS1	YLR286C	YLR286C_mRNA	protein_coding	0	2	1	26	8	0	1	0	0	0	0	0	2	18
CTT1	YGR088W	YGR088W_mRNA	protein_coding	0	0	1	10	8	0	1	0	0	0	0	0	0	2
CUE3	YGL110C	YGL110C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CUS2	YNL286W	YNL286W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CWH43	YCR017C	YCR017C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CYB2	YML054C	YML054C_mRNA	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
CYB5	YNL111C	YNL111C_mRNA	protein_coding	0	2	0	17	6	0	0	0	0	0	0	0	2	11
CYC1	YJR048W	YJR048W_mRNA	protein_coding	0	0	0	12	3	0	0	0	0	0	0	0	0	9
CYS4	YGR155W	YGR155W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CYT1	YOR065W	YOR065W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
DAK1	YML070W	YML070W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
DAK2	YFL053W	YFL053W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
DAM1	YGR113W	YGR113W_mRNA	protein_coding	0	1	1	8	3	0	1	0	0	0	0	0	1	5
DAT1	YML113W	YML113W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DBF2	YGR092W	YGR092W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DBP2	YNL112W	YNL112W_mRNA	protein_coding	0	2	0	16	15	1	0	0	0	0	0	0	2	0
DBP6	YNR038W	YNR038W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DBP9	YLR276C	YLR276C_mRNA	protein_coding	0	1	0	16	8	0	0	0	0	0	0	0	1	8
DCP1	YOL149W	YOL149W_mRNA	protein_coding	0	0	0	21	12	0	0	0	0	0	0	0	0	9
DCS1	YLR270W	YLR270W_mRNA	protein_coding	0	1	0	20	10	0	0	0	0	0	0	0	1	10
DFG16	YOR030W	YOR030W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGR1	YNL130C-A	YNL130C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DIC1	YLR348C	YLR348C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
DIM1	YPL266W	YPL266W_mRNA	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	2	2
DIP5	YPL265W	YPL265W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
DIS3	YOL021C	YOL021C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DMA2	YNL116W	YNL116W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
DNF1	YER166W	YER166W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DNF2	YDR093W	YDR093W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
DON1	YDR273W	YDR273W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DOT5	YIL010W	YIL010W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DPB4	YDR121W	YDR121W_mRNA	protein_coding	0	0	1	14	9	0	1	0	0	0	0	0	0	5
DPH6	YLR143W	YLR143W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DSF2	YBR007C	YBR007C_mRNA	protein_coding	0	2	3	16	9	0	3	0	0	0	0	0	2	7
DSS4	YPR017C	YPR017C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DST1	YGL043W	YGL043W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
DUR1,2	YBR208C	YBR208C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DUT1	YBR252W	YBR252W_mRNA	protein_coding	0	0	0	17	17	0	0	0	0	0	0	0	0	0
ECI1	YLR284C	YLR284C_mRNA	protein_coding	0	1	0	19	8	0	0	0	0	0	0	0	1	11
ECL1	YGR146C	YGR146C_mRNA	protein_coding	0	1	0	3	3	0	0	0	0	0	0	0	1	0
ECM10	YEL030W	YEL030W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ECM15	YBL001C	YBL001C_mRNA	protein_coding	0	0	0	23	12	0	0	0	0	0	0	0	0	11
ECM18	YDR125C	YDR125C_mRNA	protein_coding	0	2	1	17	10	0	1	0	0	0	0	0	2	7
ECM2	YBR065C	YBR065C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
ECM33	YBR078W	YBR078W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
